id,name,age,signup_date,email,purchase_amount,membership_level,phone
230,Ivan,20,05-02-2021,ivan@example,300,Silver,5678901
231,David,42,2021/03/15,david@example,20,,345‑6789
232,Alice,45,,alice@example,,,4567890
233,Bob,61,2020/12/31,bob at example dot com,,silver,2345678
234,Alice,50,2020/12/31,alice at example dot com,20,Platinum,4567890
235,Eve,39,,eve@mail.com,120.5,Gold,345‑6789
236,Eve,53,2020/12/31,eve@example.com,300,Gold,345‑6789
237,Grace,27,2021-06-10,grace@example,120.5,silver,345‑6789
238,Ivan,22,2021/01/05,ivan@example,450.75,,
239,Ivan,34,05-02-2021,ivan@example.com,450.75,gold,123‑4567
240,Charlie,37,2021/01/05,charlie@example,-50,Platinum,2345678
241,Charlie,58,05-02-2021,charlie at example dot com,,silver,4567890
242,Charlie,52,05-02-2021,charlie at example dot com,-50,Platinum,4567890
243,David,57,2021/01/05,david@example,75.5,,5678901
244,Hannah,54,,hannah at example dot com,20,,345‑6789
245,Frank,50,05-02-2021,frank at example dot com,20,gold,345‑6789
246,Hannah,33,2021/01/05,hannah@example,450.75,gold,345‑6789
247,Alice,53,05-02-2021,alice@mail.com,300,Gold,4567890
248,Hannah,41,2021/03/15,hannah@example.com,120.5,Platinum,5678901
249,David,54,,david at example dot com,,Platinum,123‑4567
250,Alice,28,2021-06-10,alice@mail.com,-50,,
251,Hannah,39,05-02-2021,hannah at example dot com,120.5,Gold,2345678
252,David,69,2021/03/15,david at example dot com,-50,silver,123‑4567
253,Frank,58,2021-06-10,frank@example.com,75.5,Platinum,4567890
254,Hannah,38,2021-06-10,hannah at example dot com,75.5,Gold,
255,David,37,05-02-2021,david@example.com,120.5,Gold,
256,Charlie,43,2021/01/05,charlie@example.com,120.5,,
257,Ivan,47,05-02-2021,ivan@example.com,120.5,Gold,345‑6789
258,Charlie,22,2021/03/15,charlie@mail.com,-50,gold,2345678
259,Ivan,43,2021-06-10,ivan@example,0,gold,4567890
260,Bob,56,05-02-2021,bob@mail.com,120.5,Silver,4567890
261,Bob,50,2021/01/05,bob@example,300,,
262,Bob,28,05-02-2021,bob@example,,silver,4567890
263,Frank,61,,frank@example.com,,Silver,2345678
264,Charlie,69,2021/01/05,charlie at example dot com,-50,gold,2345678
265,Ivan,23,2021/03/15,ivan@example.com,120.5,Silver,5678901
266,David,26,2021-06-10,david at example dot com,450.75,,5678901
267,Alice,61,05-02-2021,alice@example,20,,123‑4567
268,David,33,2021/01/05,david@example.com,0,Gold,2345678
269,Alice,42,,alice at example dot com,300,Platinum,2345678
270,Eve,37,2021/01/05,eve@mail.com,450.75,Gold,2345678
271,David,44,2020/12/31,david at example dot com,75.5,,5678901
272,Hannah,62,,hannah@example.com,450.75,gold,
273,Hannah,18,2021/03/15,hannah@mail.com,-50,silver,
274,Grace,59,2021-06-10,grace at example dot com,0,gold,4567890
275,Charlie,,2021/03/15,charlie at example dot com,200,Gold,
276,Alice,67,05-02-2021,alice at example dot com,200,silver,345‑6789
277,Alice,69,2021/01/05,alice at example dot com,120.5,,5678901
278,Charlie,52,2020/12/31,charlie at example dot com,120.5,gold,2345678
279,Frank,67,,frank@mail.com,-50,,
280,Grace,42,,grace@example,120.5,silver,5678901
281,Frank,45,2021/01/05,frank@mail.com,20,silver,
282,Frank,37,2020/12/31,frank@mail.com,0,gold,123‑4567
283,Frank,27,2021/01/05,frank@mail.com,-50,,2345678
284,Charlie,56,05-02-2021,charlie@example,,Silver,123‑4567
285,Frank,27,2021/03/15,frank@example.com,75.5,,2345678
286,Hannah,52,,hannah@example,-50,silver,5678901
287,Bob,65,05-02-2021,bob@mail.com,-50,,4567890
288,Eve,55,2021/03/15,eve at example dot com,200,Gold,
289,Alice,56,05-02-2021,alice at example dot com,300,Silver,
290,Alice,51,2020/12/31,alice@mail.com,300,Platinum,345‑6789
291,Eve,50,,eve at example dot com,20,Gold,123‑4567
292,Charlie,63,2021/01/05,charlie@mail.com,,Platinum,
293,David,40,2021/01/05,david at example dot com,200,gold,5678901
294,Charlie,38,2021/03/15,charlie@example,,Platinum,4567890
295,Alice,21,2021-06-10,alice@example.com,20,,5678901
296,Alice,49,2020/12/31,alice@example.com,300,Platinum,123‑4567
297,Eve,52,2021/03/15,eve@example,-50,silver,345‑6789
298,Frank,63,2021-06-10,frank@example,120.5,Gold,
299,Charlie,36,05-02-2021,charlie@mail.com,120.5,Gold,5678901
300,Ivan,35,2020/12/31,ivan@mail.com,450.75,Platinum,2345678
301,Eve,51,05-02-2021,eve@mail.com,75.5,Gold,4567890
302,Hannah,68,,hannah at example dot com,20,silver,5678901
303,Alice,59,2020/12/31,alice@mail.com,75.5,Gold,4567890
304,Eve,33,2021-06-10,eve@example,75.5,Platinum,
305,Charlie,61,,charlie@example.com,300,Silver,2345678
306,Alice,59,2021/01/05,alice at example dot com,300,Silver,345‑6789
307,David,50,2021-06-10,david@mail.com,-50,gold,345‑6789
308,Eve,25,2021/03/15,eve at example dot com,200,Gold,2345678
309,Grace,42,2021/01/05,grace at example dot com,300,Platinum,4567890
310,Alice,18,2021/01/05,alice@mail.com,120.5,Gold,
311,Charlie,69,2021/03/15,charlie at example dot com,75.5,,5678901
312,Bob,25,2020/12/31,bob@example.com,450.75,silver,2345678
313,Ivan,25,2021/01/05,ivan@example,0,Gold,123‑4567
314,Jack,56,2021-06-10,jack@example,20,Gold,4567890
315,Frank,33,,frank@example.com,450.75,Silver,345‑6789
316,Jack,,2021/01/05,jack at example dot com,120.5,silver,2345678
317,Charlie,41,2021-06-10,charlie@mail.com,300,Platinum,345‑6789
318,Hannah,59,05-02-2021,hannah at example dot com,200,Gold,4567890
319,Hannah,56,2021-06-10,hannah@example.com,-50,Silver,345‑6789
320,Bob,58,,bob at example dot com,0,gold,2345678
321,Frank,41,2021-06-10,frank@example,,silver,4567890
322,Grace,55,2021/03/15,grace at example dot com,450.75,Silver,123‑4567
323,Bob,51,,bob@example.com,200,Silver,2345678
324,Jack,19,2020/12/31,jack@example,,Silver,5678901
325,Bob,66,05-02-2021,bob at example dot com,0,Gold,
326,Jack,53,2021/03/15,jack at example dot com,20,Gold,2345678
327,Alice,60,2020/12/31,alice@example,20,gold,4567890
328,Hannah,60,2021-06-10,hannah@mail.com,75.5,,
329,Alice,67,,alice@example,0,,2345678
330,Ivan,46,05-02-2021,ivan@mail.com,0,,123‑4567
331,Frank,54,2021/03/15,frank@example.com,,silver,123‑4567
332,Grace,50,2020/12/31,grace@example.com,200,silver,5678901
333,Jack,28,2020/12/31,jack@example,,gold,345‑6789
334,Grace,35,05-02-2021,grace@example,-50,silver,
335,Jack,53,2021-06-10,jack@example.com,20,,4567890
336,Charlie,60,05-02-2021,charlie@mail.com,20,,4567890
337,Bob,65,2020/12/31,bob@example.com,75.5,Silver,345‑6789
338,Ivan,33,2021/01/05,ivan@example,-50,silver,123‑4567
339,Hannah,26,2021/03/15,hannah@example.com,20,Gold,123‑4567
340,Jack,65,05-02-2021,jack@example,,Gold,2345678
341,Grace,63,2020/12/31,grace@example,-50,Silver,5678901
342,Ivan,28,2021-06-10,ivan@example.com,,Silver,
343,David,32,2020/12/31,david@mail.com,20,Silver,5678901
344,David,40,2021-06-10,david at example dot com,20,Gold,5678901
345,Alice,35,05-02-2021,alice@example.com,200,,2345678
346,Hannah,24,2021-06-10,hannah at example dot com,450.75,Silver,5678901
347,Charlie,47,,charlie@example.com,450.75,gold,345‑6789
348,Grace,37,,grace at example dot com,75.5,Silver,2345678
349,Bob,33,,bob@mail.com,,Platinum,345‑6789
350,Bob,39,2021/01/05,bob@mail.com,,Silver,2345678
351,Grace,53,05-02-2021,grace@example.com,120.5,Gold,5678901
352,Frank,32,2020/12/31,frank@example,-50,silver,345‑6789
353,Charlie,22,2020/12/31,charlie at example dot com,300,Silver,345‑6789
354,Ivan,24,2021/01/05,ivan@example,450.75,silver,345‑6789
355,Jack,41,2021-06-10,jack@example,20,Platinum,2345678
356,Frank,34,2021/01/05,frank@example,75.5,gold,4567890
357,Jack,41,2021-06-10,jack@mail.com,300,silver,5678901
358,Jack,28,2021-06-10,jack@example.com,0,,345‑6789
359,Frank,31,2021/03/15,frank@example.com,75.5,Silver,
360,Alice,42,2020/12/31,alice@mail.com,0,Platinum,4567890
361,David,57,,david@mail.com,0,Platinum,
362,Jack,61,2021-06-10,jack@example.com,0,silver,5678901
363,Frank,42,2021/03/15,frank@example,200,gold,5678901
364,Frank,63,2020/12/31,frank at example dot com,200,Gold,345‑6789
365,Eve,48,,eve at example dot com,200,Silver,345‑6789
366,Alice,26,2021-06-10,alice at example dot com,300,Platinum,2345678
367,Hannah,32,2021-06-10,hannah@example,75.5,gold,4567890
368,Eve,23,2021/01/05,eve@example.com,75.5,,4567890
369,Eve,33,2021/01/05,eve@mail.com,20,Platinum,345‑6789
370,Grace,39,2020/12/31,grace@example.com,200,gold,5678901
371,David,42,,david@example,20,Gold,345‑6789
372,Frank,37,2021-06-10,frank@mail.com,-50,Gold,5678901
373,David,38,2020/12/31,david@example,20,Platinum,5678901
374,Charlie,23,2020/12/31,charlie at example dot com,300,Platinum,345‑6789
375,Grace,30,05-02-2021,grace at example dot com,450.75,silver,123‑4567
376,Hannah,31,2021/01/05,hannah@example,0,Silver,4567890
377,David,69,,david@mail.com,200,gold,
378,Bob,23,2021-06-10,bob@mail.com,450.75,Platinum,5678901
379,Jack,25,2020/12/31,jack@example.com,20,Silver,5678901
380,Charlie,67,2021-06-10,charlie at example dot com,0,silver,123‑4567
381,Alice,64,05-02-2021,alice@example.com,75.5,Silver,
382,Hannah,24,,hannah@example.com,,Platinum,2345678
383,Charlie,66,2020/12/31,charlie@example,0,Gold,123‑4567
384,Jack,39,2021-06-10,jack@example,300,gold,
385,Grace,45,2021/01/05,grace@example.com,300,gold,123‑4567
386,Jack,34,05-02-2021,jack at example dot com,20,Gold,5678901
387,Eve,47,,eve@example,-50,Platinum,4567890
388,Jack,46,05-02-2021,jack@example.com,300,gold,123‑4567
389,Eve,68,2021/01/05,eve@example.com,300,Platinum,2345678
390,Grace,55,,grace@example.com,20,silver,345‑6789
391,Ivan,51,05-02-2021,ivan@example.com,0,Platinum,
392,Eve,34,2021/03/15,eve@example.com,-50,Silver,123‑4567
393,Alice,58,2021/01/05,alice@example.com,450.75,Gold,123‑4567
394,Jack,55,2021/01/05,jack@example,,Platinum,2345678
395,Jack,33,2021/01/05,jack at example dot com,200,silver,4567890
396,Alice,30,2021/03/15,alice@example.com,75.5,,123‑4567
397,Bob,47,2021/03/15,bob@mail.com,300,Gold,123‑4567
398,Frank,40,2021-06-10,frank@example,20,gold,4567890
399,Ivan,51,2020/12/31,ivan@example,200,Silver,2345678
400,Hannah,60,05-02-2021,hannah@example.com,75.5,gold,
401,Eve,61,2021-06-10,eve@example,75.5,silver,
402,Alice,50,05-02-2021,alice@example.com,450.75,silver,123‑4567
403,Grace,19,2020/12/31,grace at example dot com,450.75,gold,4567890
404,Eve,53,2021/03/15,eve at example dot com,450.75,Gold,123‑4567
405,Frank,59,2020/12/31,frank@example,120.5,gold,345‑6789
406,Grace,56,2021/03/15,grace@example,120.5,Platinum,
407,Charlie,42,2020/12/31,charlie@mail.com,75.5,gold,5678901
408,Jack,39,2021-06-10,jack@example,450.75,Silver,345‑6789
409,Charlie,60,,charlie@mail.com,300,Silver,123‑4567
410,Eve,55,2021-06-10,eve at example dot com,200,,2345678
411,Frank,31,05-02-2021,frank at example dot com,200,Silver,
412,Ivan,65,2021-06-10,ivan@example.com,120.5,gold,5678901
413,Eve,20,2021/01/05,eve at example dot com,75.5,Silver,345‑6789
414,Alice,45,05-02-2021,alice@mail.com,20,Gold,
415,David,38,2020/12/31,david@example,0,Silver,4567890
416,Eve,41,05-02-2021,eve@example.com,0,Platinum,2345678
417,Jack,29,,jack@mail.com,120.5,Gold,345‑6789
418,Jack,34,2021/03/15,jack@example,20,,4567890
419,Eve,49,2020/12/31,eve@example.com,120.5,Platinum,123‑4567
420,Grace,32,05-02-2021,grace at example dot com,0,gold,4567890
421,David,61,2020/12/31,david@mail.com,20,gold,345‑6789
422,Alice,58,2020/12/31,alice@example,450.75,gold,345‑6789
423,Eve,60,2020/12/31,eve@example.com,75.5,Platinum,123‑4567
424,Grace,18,2021/03/15,grace@example.com,200,Platinum,4567890
425,Jack,51,2021-06-10,jack at example dot com,-50,Platinum,4567890
426,Jack,58,2020/12/31,jack@example,75.5,Gold,123‑4567
427,Frank,50,2021/01/05,frank at example dot com,450.75,silver,4567890
428,Eve,46,,eve at example dot com,0,Gold,
429,David,29,2021/03/15,david@example,450.75,gold,123‑4567
430,Bob,29,05-02-2021,bob@example,120.5,silver,2345678
431,David,34,2021/03/15,david@example,20,Silver,345‑6789
432,Jack,48,05-02-2021,jack@mail.com,200,gold,2345678
433,Jack,48,2021/03/15,jack@example,300,,
434,Charlie,51,05-02-2021,charlie@example.com,120.5,Gold,
435,Jack,55,2020/12/31,jack at example dot com,75.5,Platinum,5678901
436,Alice,62,2021-06-10,alice@mail.com,120.5,Gold,5678901
437,Hannah,68,05-02-2021,hannah@example,75.5,Platinum,5678901
438,Eve,45,05-02-2021,eve@mail.com,300,silver,123‑4567
439,David,65,2021/01/05,david@example,,,4567890
440,Hannah,45,05-02-2021,hannah@mail.com,200,silver,
441,Grace,69,2021/01/05,grace at example dot com,-50,,2345678
442,Bob,60,,bob at example dot com,450.75,Gold,2345678
443,Alice,32,2020/12/31,alice@example.com,,Platinum,2345678
